Unnamed: 0,header,NumberofInstances,Area,NumberofAttributes,DateDonated,MissingValues,NumberofWebHits,multivariate_data,time_series_data,data_generator_data,domain_theory_data,image_data,relational_data,sequential_data,spatial_data,univariate_data,spatio_temporal_data,text_data,transactional_data,num_data_characteristics,categorical_attributes,real_attributes,integer_attributes,no_listed_attributes,num_attribute_characteristics,causal_discover_task,classification_task,regression_task,function_learning_task,reccomendation_task,description_task,relational_learning_task,no_given_task,clustering_task,num_associated_tasks,source_institution_places,year_donated,year_month_donated,DatasetAge,DatapointCount
204,QSAR oral toxicity Data Set,8992,Physical,1024,10/1/2019,No,6042,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['University of Milano', 'Milan', 'Italy', 'ITA']]",2019,10-2019,1,9207808
205,Epileptic Seizure Recognition Data Set,11500,Life,179,5/24/2017,No,110617,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,0,0,0,0,0,0,1,2,"[['Rochester Institute of Technology', 'Rochester, NY', 'United States', 'USA']]",2017,5-2017,3,2058500
206,Dow Jones Index Data Set,750,Business,16,10/23/2014,No,211539,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,1,2,"[['University of Maryland', 'College Park, MD', 'United States', 'USA']]",2014,10-2014,6,12000
207,Vertebral Column Data Set,310,Other,6,8/9/2011,No,170386,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Federal University of Cear·', 'Fortaleza', 'Brazil', 'BRA']]",2011,8-2011,9,1860
209,GNFUV Unmanned Surface Vehicles Sensor Data Set 2 Data Set,10190,Computer,6,9/13/2018,Yes,9780,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['University of Glasgow', 'Glasgow', 'United Kingdom', 'GBR']]",2018,9-2018,2,61140
210,Ionosphere Data Set,351,Physical,34,1/1/1989,No,231746,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Johns-Hopkins University', 'Baltimore, MD', 'United States', 'USA']]",1989,1-1989,31,11934
211,UJIIndoorLoc Data Set,21048,Computer,529,9/18/2014,No,97057,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,0,2,"[['Universitat Politecnica de Catalunya', 'Barcelona', 'Spain', 'ESP'], ['Universitat Jaume I', 'Valencia', 'Spain', 'ESP']]",2014,9-2014,6,11134392
212,Dresses_Attribute_Sales Data Set,501,Computer,13,2/19/2014,Yes,109679,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,"[['Air University', 'Maxwell AFB, AL', 'United States', 'USA']]",2014,2-2014,6,6513
213,"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015 Data Set",1710671,Computer,9,7/11/2015,Yes,81736,1,1,0,1,0,0,1,0,0,0,0,0,4,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,,2015,7-2015,5,15396039
214,IDA2016Challenge Data Set,76000,Computer,171,1/17/2017,Yes,16487,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Stockholm University', 'Stockholm', 'Sweden', 'SWE']]",2017,1-2017,3,12996000
215,Travel Reviews Data Set,980,Other,11,12/19/2018,No,70477,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,,2018,12-2018,2,10780
216,QSAR Bioconcentration classes dataset Data Set,779,Life,14,10/11/2019,No,5677,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,"[['University of Milano', 'Milan', 'Italy', 'ITA']]",2019,10-2019,1,10906
217,Letter Recognition Data Set,20000,Computer,16,1/1/1991,No,391541,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Northwestern University', 'Evanston, IL', 'United States', 'USA'], ['Odesta Corporation', 'Evanston, IL', 'United States', 'USA']]",1991,1-1991,29,320000
218,Polish companies bankruptcy data Data Set,10503,Business,64,4/11/2016,Yes,104739,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Warsaw University of Science and Technology', 'Warszawa', 'Poland', 'POL']]",2016,4-2016,4,672192
219,Simulated Falls and Daily Living Activities Data Set Data Set,3060,Life,138,6/6/2018,Yes,79305,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Bilkent University', 'Ankara', 'Turkey', 'TUR'], ['Gazi University', 'Ankara', 'Turkey', 'TUR']]",2018,6-2018,2,422280
220,Behavior of the urban traffic of the city of Sao Paulo in Brazil Data Set,135,Computer,18,12/12/2018,No,46554,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,1,0,0,0,0,0,0,2,"[['Universidade Nove de Julho', 'Sao Paulo', 'Brazil', 'BRA']]",2018,12-2018,2,2430
221,Detect Malacious Executable(AntiVirus) Data Set,373,Computer,513,3/3/2016,Yes,256103,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Mumbai', 'Mumbai', 'India', 'IND']]",2016,3-2016,4,191349
222,Physicochemical Properties of Protein Tertiary Structure Data Set,45730,Life,9,3/31/2013,No,54975,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['Indian Institute of Information Technology & Management', 'Gwalior', 'India', 'IND']]",2013,3-2013,7,411570
223,Census-Income (KDD) Data Set,299285,Social,40,3/7/2000,Yes,174212,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Purdue University', 'West Lafayette, IN', 'United States', 'USA']]",2000,3-2000,20,11971400
224,PM2.5 Data of Five Chinese Cities Data Set,52854,Physical,86,7/18/2017,Yes,83868,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,"[['Peking University', 'Beijing', 'China', 'CHN']]",2017,7-2017,3,4545444
225,seeds Data Set,210,Life,7,9/29/2012,No,307657,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"[['Polish Academy of Sciences', 'Warszawa', 'Poland', 'POL']]",2012,9-2012,8,1470
226,Human Activity Recognition from Continuous Ambient Sensor Data Data Set,13956534,Other,37,9/20/2019,Yes,22345,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Washington State University', 'Pullman, WA', 'United States', 'USA']]",2019,9-2019,1,516391758
227,chipseq Data Set,4960,Life,0,2/21/2018,No,20770,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['McGill University', 'Montreal', 'Canada', 'CAN']]",2018,2-2018,2,0
228,Sentence Classification Data Set,0,Other,0,11/5/2014,No,75977,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of California, Irvine', 'Irvine, CA', 'United States', 'USA']]",2014,11-2014,6,0
229,Deepfakes: Medical Image Tamper Detection Data Set,20000,Computer,200000,3/11/2020,No,2160,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Ben-Gurion University of the Negev', 'Beersheba', 'Israel', 'ISR']]",2020,3-2020,0,4000000000
230,One-hundred plant species leaves data set Data Set,1600,Life,64,12/3/2012,No,71803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Kingston University London', 'London', 'United Kingdom', 'GBR']]",2012,12-2012,8,102400
231,Predict keywords activities in a online social media Data Set,51,Computer,35,12/12/2013,No,45147,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,1,0,2,"[[""Laboratoire d'Informatique de Grenoble"", 'Grenoble', 'France', 'FRA']]",2013,12-2013,7,1785
232,Autism Screening Adult Data Set,704,Social,21,12/24/2017,Yes,59277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Manukau Institute of Technology', 'Auckland', 'New Zealand', 'NZL']]",2017,12-2017,3,14784
233,Thoracic Surgery Data Data Set,470,Life,17,11/13/2013,No,100717,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Wroclaw Medical University', 'Wroclaw', 'Poland', 'POL'], ['Wroclaw University of Technology', 'Wroclaw', 'Poland', 'POL']]",2013,11-2013,7,7990
234,Diabetic Retinopathy Debrecen Data Set Data Set,1151,Life,20,11/3/2014,No,107541,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['University of Debrecen', 'Debrecen', 'Hungary', 'HUN']]",2014,11-2014,6,23020
235,Energy efficiency Data Set,768,Computer,8,11/30/2012,No,306615,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,0,2,"[['University of Oxford', 'Oxford', 'United Kingdom', 'GBR']]",2012,11-2012,8,6144
236,BAUM-1 Data Set,1184,Computer,0,11/9/2018,No,15585,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,,2018,11-2018,2,0
237,Breast Cancer Data Set,286,Life,9,7/11/1988,Yes,483461,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Carnegie-Mellon University', 'Pittsburgh, PA', 'United States', 'USA']]",1988,7-1988,32,2574
238,Cuff-Less Blood Pressure Estimation Data Set,12000,Life,3,7/27/2015,Yes,114087,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,"[['Sharif University of Technology', 'Tehran', 'Iran', 'IRN']]",2015,7-2015,5,36000
239,Sports articles for objectivity analysis Data Set,1000,Social,59,4/9/2018,No,34490,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['American University of Beirut', 'Beirut', 'Lebanon', 'LBN']]",2018,4-2018,2,59000
240,Tennis Major Tournament Match Statistics Data Set,127,Other,42,6/1/2014,Yes,100483,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,1,2,"[['Rochester Institute of Technology', 'Rochester, NY', 'United States', 'USA']]",2014,6-2014,6,5334
241,Internet Usage Data Data Set,10104,Computer,72,6/30/1999,No,115756,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,2,"[['Iowa State University', 'Ames, IA', 'United States', 'USA']]",1999,6-1999,21,727488
242,Qualitative_Bankruptcy Data Set,250,Computer,7,2/9/2014,No,80820,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['Pondicherry University', 'Kalapet', 'India', 'IND']]",2014,2-2014,6,1750
243,Activity recognition with healthy older people using a batteryless wearable sensor Data Set,75128,Life,9,12/12/2016,No,34214,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Adelaide University', 'Adelaide', 'Australia', 'AUS']]",2016,12-2016,4,676152
244,WISDM Smartphone and Smartwatch Activity and Biometrics Dataset  Data Set,15630426,Computer,6,10/6/2019,No,55928,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Fordham University', 'The Bronx, NY', 'United States', 'USA']]",2019,10-2019,1,93782556
245,Condition monitoring of hydraulic systems Data Set,2205,Computer,43680,4/26/2018,No,50265,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,"[['Saarland University', 'Saarbr¸cken', 'Germany', 'DEU'], ['ZeMA gGmbH - Forschungszentrum in Saarbr¸cken', 'Saarbr¸cken', 'Germany', 'DEU']]",2018,4-2018,2,96314400
246,M. Tuberculosis Genes Data Set,0,Life,0,7/14/2001,No,37898,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"[['University of Wales Aberystwyth', 'Aberystwyth', 'United Kingdom', 'GBR']]",2001,7-2001,19,0
247,Exasens Data Set,399,Life,4,4/22/2020,Yes,2686,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,"[['Leibniz-institute for innovative microelectronics', 'Frankfurt', 'Germany', 'DEU'], ['Leibniz Health Technologies and German Center for Lung Research', 'Borstel', 'Germany', 'DEU']]",2020,4-2020,0,1596
248,Leaf Data Set,340,Computer,16,2/24/2014,No,125370,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Porto', 'Porto', 'Portugal', 'PRT']]",2014,2-2014,6,5440
249,YearPredictionMSD Data Set,515345,Other,90,2/7/2011,No,177558,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['Columbia University', 'New York, NY', 'United States', 'USA']]",2011,2-2011,9,46381050
250,Weight Lifting Exercises monitored with Inertial Measurement Units Data Set,39242,Physical,152,11/24/2013,Yes,44682,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Pontifical Catholic University of Rio de Janeiro', 'Rio de Janeiro', 'Brazil', 'BRA'], ['Lancaster University', 'Lancaster', 'United Kingdom', 'GBR']]",2013,11-2013,7,5964784
251,Educational Process Mining (EPM): A Learning Analytics Data Set Data Set,230318,Computer,13,9/24/2015,No,99191,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,"[['Universite degli Studi di Genova', 'Genoa', 'Italy', 'ITA'], ['University of Genoa', 'Genoa', 'Italy', 'ITA']]",2015,9-2015,5,2994134
252,Dynamic Features of VirusShare Executables Data Set,107888,Computer,482,11/29/2017,No,29847,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,"[['Nanyang Technological University', 'Singapore', 'Singapore', 'SGP']]",2017,11-2017,3,52002016
253,El Nino Data Set,178080,Physical,12,6/30/1999,Yes,99495,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,2,"[['Iowa State University', 'Ames, IA', 'United States', 'USA']]",1999,6-1999,21,2136960
254,Z-Alizadeh Sani Data Set,303,Life,56,11/17/2017,No,21616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Deakin University', 'Victoria', 'Australia', 'AUS'], ['Iran University', 'Tehran', 'Iran', 'IRN']]",2017,11-2017,3,16968
255,Concrete Compressive Strength Data Set,1030,Physical,9,8/3/2007,No,206112,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['Chung-Hua University', 'Hsin Chu', 'Taiwan', 'TWN']]",2007,8-2007,13,9270
256,ElectricityLoadDiagrams20112014 Data Set,370,Computer,140256,3/13/2015,No,73895,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,"[['Elergone Energia', 'LeÁa da Palmeira', 'Portugal', 'PRT']]",2015,3-2015,5,51894720
257,Real estate valuation data set Data Set,414,Business,7,8/18/2018,No,72976,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,"[['Tamkang University', 'New Taipei City', 'Taiwan', 'TWN']]",2018,8-2018,2,2898
258,NoisyOffice Data Set,216,Computer,216,1/3/2015,No,66866,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,"[['CEU Cardinal Herrera University', 'Alfara del Patriarca', 'Spain', 'ESP'], ['Universitat Politecnica de Catalunya', 'Barcelona', 'Spain', 'ESP']]",2015,1-2015,5,46656
259,YouTube Comedy Slam Preference Data Data Set,1138562,Computer,3,4/10/2012,No,92322,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['Google, Inc.', 'Mountain View, CA', 'United States', 'USA']]",2012,4-2012,8,3415686
260,Bank Marketing Data Set,45211,Business,17,2/14/2012,No,1238325,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,,2012,2-2012,8,768587
261,A study of  Asian Religious and Biblical Texts Data Set,590,Social,8265,12/24/2019,No,16938,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,"[['Rochester Institute of Technology', 'Rochester, NY', 'United States', 'USA']]",2019,12-2019,1,4876350
263,Ozone Level Detection Data Set,2536,Physical,73,4/21/2008,Yes,138784,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Lousiana', 'Lafayette, LA', 'United States', 'USA'], ['University of Houston', 'Houston, TX', 'United States', 'USA']]",2008,4-2008,12,185128
264,YouTube Multiview Video Games Dataset Data Set,120000,Computer,1000000,10/16/2013,Yes,128065,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,1,2,"[['Google Inc.', 'Mountain View, CA', 'United States', 'USA']]",2013,10-2013,7,1.20E+11
265,QSAR biodegradation Data Set,1055,Other,41,6/21/2013,No,47400,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['University of Milano', 'Milan', 'Italy', 'ITA']]",2013,6-2013,7,43255
266,Cargo 2000 Freight Tracking and Tracing Data Set,3942,Business,98,11/3/2016,Yes,42627,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,"[['University of Duisburg-Essen ', 'Essen', 'Germany', 'DEU']]",2016,11-2016,4,386316
267,CSM (Conventional and Social Media Movies) Dataset 2014 and 2015 Data Set,217,Computer,12,10/11/2017,Yes,30471,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,"[['National University of Sciences and Technology (NUST)', 'Islamabad', 'Pakistan', 'PAK']]",2017,10-2017,3,2604
268,Twitter Data set for Arabic Sentiment Analysis Data Set,2000,Social,2,4/11/2014,No,90919,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['Jordan University of Science and Technology', 'Irbid', 'Jordan', 'JOR']]",2014,4-2014,6,4000
269,Soybean (Large) Data Set,307,Life,35,7/11/1988,Yes,127503,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Carnegie-Mellon University', 'Pittsburgh, PA', 'United States', 'USA']]",1988,7-1988,32,10745
270,Activity Recognition from Single Chest-Mounted Accelerometer Data Set,0,Other,0,3/2/2014,No,110972,0,1,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,,2014,3-2014,6,0
271,Trains Data Set,10,Other,32,6/24/1994,No,154933,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['George Mason University', 'Fairfax, VA', 'United States', 'USA']]",1994,6-1994,26,320
272,Connect-4 Data Set,67557,Game,42,2/4/1995,No,162184,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Centrum Wiskunde & Informatica (CWI)', 'Amsterdam', 'Netherlands', 'NLD']]",1995,2-1995,25,2837394
273,Audiology (Standardized) Data Set,226,Life,69,8/18/1992,Yes,105605,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Texas', 'Austin, TX', 'United States', 'USA']]",1992,8-1992,28,15594
274,Diabetes 130-US hospitals for years 1999-2008 Data Set,100000,Life,55,5/3/2014,Yes,313855,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,"[['University of Kansas', 'Kansas City, KS', 'United States', 'USA']]",2014,5-2014,6,5500000
275,Balance Scale Data Set,625,Social,4,4/22/1994,No,255105,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of California, Irvine', 'Irvine, CA', 'United States', 'USA']]",1994,4-1994,26,2500
276,Stock portfolio performance Data Set,315,Business,12,4/22/2016,No,64432,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['Tamkang University', 'New Taipei City', 'Taiwan', 'TWN']]",2016,4-2016,4,3780
277,OPPORTUNITY Activity Recognition Data Set,2551,Computer,242,6/9/2012,Yes,98464,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['…cole polytechnique fÈdÈrale de Lausanne', 'Lausanne', 'Switzerland', 'CHE']]",2012,6-2012,8,617342
278,Wearable Computing: Classification of Body Postures and Movements (PUC-Rio) Data Set,165632,Computer,18,4/9/2013,No,58904,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Pontifical Catholic University of Rio de Janeiro', 'Rio de Janeiro', 'Brazil', 'BRA']]",2013,4-2013,7,2981376
279,UJIIndoorLoc-Mag Data Set,40000,Computer,13,9/10/2015,No,42843,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,2,0,1,1,0,0,0,0,0,1,2,"[['Universitat Jaume I', 'Valencia', 'Spain', 'ESP']]",2015,9-2015,5,520000
280,Pseudo Periodic Synthetic Time Series Data Set,100000,Other,0,2/8/1999,No,45606,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"[['University of California, Irvine', 'Irvine, CA', 'United States', 'USA']]",1999,2-1999,21,0
281,Lymphography Data Set,148,Life,18,11/1/1988,No,89642,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Jozef Stefan Institute', 'Ljubljana', 'Slovenia', 'SVN'], ['University E.Kardelj', 'Ljubljana', 'Slovenia', 'SVN']]",1988,11-1988,32,2664
282,Multimodal Damage Identification for Humanitarian Computing Data Set,5879,Social,0,6/1/2018,No,11981,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['American University of Beirut', 'Beirut', 'Lebanon', 'LBN']]",2018,6-2018,2,0
284,Perfume Data Data Set,560,Computer,2,7/22/2014,No,141055,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,"[['Bahrain University', 'Zallaq', 'Bahrain', 'BHR'], ['Selcuk University', 'Konya', 'Turkey', 'TUR']]",2014,7-2014,6,1120
285,seismic-bumps Data Set,2584,Other,19,4/3/2013,No,65730,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Silesian University of Technology', 'Gliwice', 'Poland', 'POL'], ['Institute of Innovative Technologies EMAG', 'Katowice', 'Poland', 'POL']]",2013,4-2013,7,49096
286,Cervical cancer (Risk Factors) Data Set,858,Life,36,3/3/2017,Yes,122086,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['University of Porto', 'Porto', 'Portugal', 'PRT']]",2017,3-2017,3,30888
287,DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels Data Set,12234,Computer,8519,10/27/2016,No,17999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Universidad Nacional de Educacion a Distancia', 'Madrid', 'Spain', 'ESP'], ['Pennsylvania State University', 'State College, PA', 'United States', 'USA']]",2016,10-2016,4,104221446
288,Data for Software Engineering Teamwork Assessment in Education Setting Data Set,74,Computer,102,6/29/2017,Yes,34643,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['San Francisco State University', 'San Francisco, CA', 'United States', 'USA'], ['Fulda University', 'Fulda', 'Germany', 'DEU']]",2017,6-2017,3,7548
289,MicroMass Data Set,931,Life,1300,8/12/2013,No,47083,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['bioMÈrieux', ""Marcy l'Etoile"", 'France', 'FRA']]",2013,8-2013,7,1210300
291,MEU-Mobile KSD Data Set,2856,Computer,71,5/14/2016,No,12518,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Jordan University of Science and Technology', 'Irbid', 'Jordan', 'JOR']]",2016,5-2016,4,202776
292,Vicon Physical Action Data Set Data Set,3000,Physical,27,7/27/2011,No,52601,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Essex', 'Colchester', 'United Kingdom', 'GBR']]",2011,7-2011,9,81000
293,Dodgers Loop Sensor Data Set,50400,Other,3,12/1/2006,Yes,74324,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,2,"[['University of California, Irvine', 'Irvine, CA', 'United States', 'USA']]",2006,12-2006,14,151200
295,Character Font Images Data Set,745000,Computer,411,8/14/2016,No,33009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Richard Lyman', 'Los Gatos, CA', 'United States', 'USA']]",2016,8-2016,4,306195000
296,Japanese Credit Screening Data Set,125,Financial,0,3/19/1992,No,107379,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,3,0,1,0,0,0,0,0,0,0,3,"[['University of California, Irvine', 'Irvine, CA', 'United States', 'USA']]",1992,3-1992,28,0
297,Forest type mapping Data Set,326,Life,27,5/25/2015,No,58991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['Institute for Global Environmental Strategies', 'Kamiyamaguchi', 'Japan', 'JPN']]",2015,5-2015,5,8802
298,Dexter Data Set,2600,Other,20000,2/29/2008,No,103395,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Dortmund', 'Dortmund', 'Germany', 'DEU'], ['University of California, Irvine', 'Irvine, CA', 'United States', 'USA'], ['University of California, Berkeley', 'Berkeley, CA', 'United States', 'USA']]",2008,2-2008,12,52000000
